id,employee_id,zone_id,start_time,end_time
"12c14c41-3b3c-4842-ab0f-e07b988db621","1e5954b1-9425-4458-af29-e5c15979ab05","3c0065d4-491d-4866-9b3d-26158c9a9778","2025-10-23T18:49:30.718Z","2025-10-24T02:49:30.718Z"
"53f3a630-d4a1-4ebb-b0d3-05fd84d87b57","7212c85e-63ee-402a-a269-f4a2f8f42f07","58b36246-e1de-4ed2-bd10-48dd8a3c69c8","2025-10-27T08:10:34.869Z","2025-10-27T16:10:34.869Z"
"0ac52475-85b5-494f-8d92-bc69b3cdb54d","63a88876-18ac-43cf-afae-b5bf20478558","ad892b4b-7e3a-4f62-87b3-9ff3d7c7f93d","2025-10-23T11:05:22.813Z","2025-10-23T19:05:22.813Z"
"bea6e090-4361-477b-b7e3-634cc04dbf79","78032864-7834-4ba6-a3b6-257ca6464b4c","50bd82b0-365b-43a6-bcc1-ee215a90ee06","2025-11-01T15:43:21.540Z","2025-11-01T23:43:21.540Z"
"f412815f-c7f7-478f-a33f-3885794511a5","b0876fd4-6971-4329-9c4d-a7111146db62","3c0065d4-491d-4866-9b3d-26158c9a9778","2025-11-14T03:03:54.164Z","2025-11-14T11:03:54.164Z"
"56d562d0-038f-47e5-a3b9-9e5c48f0c575","5f760472-dc21-45de-b74d-735cebe923c3","58b36246-e1de-4ed2-bd10-48dd8a3c69c8","2025-11-01T02:05:41.499Z","2025-11-01T10:05:41.499Z"
"4ad0a57f-eb07-4450-b1ef-0973052df1e0","09bfa4cf-ce3e-4e5c-a7d1-64b6696ead65","3c0065d4-491d-4866-9b3d-26158c9a9778","2025-11-20T16:19:21.468Z","2025-11-21T00:19:21.468Z"
"293b619c-47f6-4286-b3d3-df1cfbe3ee35","7d159023-2c42-4d46-9e38-5b6efc1c9eb4","58b36246-e1de-4ed2-bd10-48dd8a3c69c8","2025-11-18T20:36:10.931Z","2025-11-19T04:36:10.931Z"
"88d03fc5-1b22-4c2a-99df-deafa1a89b56","990dc0bc-2379-4192-80de-787a410a5d95","ad892b4b-7e3a-4f62-87b3-9ff3d7c7f93d","2025-11-11T02:07:59.908Z","2025-11-11T10:07:59.908Z"
"4fb30ce6-8026-434a-ac96-3398b6f65ed3","5890b448-208f-434e-a19f-baa5a01af564","2281ab8d-c4d3-461c-9082-3d1987e3436e","2025-11-18T00:05:05.380Z","2025-11-18T08:05:05.380Z"
"1770f5a4-46e7-4d39-bef2-e513d3688012","75b98ad9-4056-4a80-bcc9-528b22dd408c","ee230d46-c2b4-4618-8fa1-6fd3b1df35d3","2025-10-28T12:38:28.593Z","2025-10-28T20:38:28.593Z"
"71082754-ace6-4246-a263-ff18f8dcfde8","6debaa6e-f7fc-4684-ae6e-e1912f08e6ce","ee230d46-c2b4-4618-8fa1-6fd3b1df35d3","2025-11-04T17:34:53.881Z","2025-11-05T01:34:53.881Z"
"c3b881a9-4587-4cec-8866-747e416873ff","eef488fe-8da3-4482-aab7-e5c4268e54dd","ad892b4b-7e3a-4f62-87b3-9ff3d7c7f93d","2025-10-23T16:30:49.547Z","2025-10-24T00:30:49.547Z"
"87526615-6d2a-4104-a89c-719c8d04b1b1","100284bb-965e-415d-aff1-df6bcd68457b","ad892b4b-7e3a-4f62-87b3-9ff3d7c7f93d","2025-10-25T18:04:20.314Z","2025-10-26T02:04:20.314Z"
"fbad21d5-1248-4531-b4b7-021f1be7c5dc","f940444c-6b0e-4f05-a596-812fa8a5c96b","50bd82b0-365b-43a6-bcc1-ee215a90ee06","2025-11-19T12:42:37.890Z","2025-11-19T20:42:37.890Z"
